xSNoRow,xShortTitle:,Reading,xBookRead,SleepRead,Confident,Chivalry,xGenderEqWestern,MaleDominated,MaleChauvanist,ExamMult,ExamExt,ReadComics,xComicsRead,JobNoWorry,JobByCollege,Inquisitive,Debate,WriteNotes,ClassTooMany,BigWeekend,TeacherListen,NotMarks,GrpStudy,TeachersEq,ActivityTooMany,Conservative,TechNeeded,OldDrs,ENews,PeerPres,TeacherPest,EngLit,EnglishJob,Listening,Writing,ActivityOpt,Gender,PostMBA,ClassBig,Vernacular,TownSmall,FriendsMany,FriendsTrue,Movies,StudiesHigher,ExcelExpert,Blogger,xBlogIs,Webpage,xWebpageIs,WriteDiary,Meditate,Hobbies,MBASad,MBAHappy,FoodHealthy,xFoodFav,SpkEmpowered,TeacherEmpower,ProudParent,ProudI,Degree,,
#,SnoColumns,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,,
#,Timestamp,Reading is important for MBA,My favorite books are,I sleep late and read at night,I can change the world with my work,"In a full bus, a boy should give seat to a girl standing?",Gender equality is for the West,"MBA is more important for boys, because they must get a job and support the family?",Boys do better in Math than girls,Multiple choice exams are easier than essay exams,External exams are better than internal exams?,Reading comics helps in MBA comprehension,I have read following comics,"No matter what marks I get, placement is guaranteed",It is the college's responsibility to do placements.,We should ask more questions in class,Seminars must include debate at the end,We must write notes in all classes,We have too many classes and not enough time to think,Saturdays should be holiday so we can go home,We can talk to teacher anytime during office timings,I worry about placements more than marks,I study in a group after college hours,We are treated equally by college/teachers,There are too many activities and not enough interesting course material,Our college needs to be more liberal,"Our course material is outdated, we need modern technology like tablets to learn.",Dress code in college is old fashioned,I read google news every morning,I learn best from fellow student presentations.,"Teachers don't listen to us, they think we are trouble",English Literature should be taught in MBA,Speaking English is necessary for placements,Listening is more important than speaking English,Writing is more important than reading,Extra curricular activities must be optional,My gender,My dream during MBA,I like big classes,"I studied in my mother tongue (Kannada, Tulu, Konkani, etc)",I grew up in a small town like Karkala,I have lots of Friends in college,College friends are true friends,I love watching movies after classes to relax,I want to study more after MBA,I know Excel well,I write a blog,my blog is here:,I have a web page,my webpage is here,I write a diary to organize my thoughts,I meditate to calm my mind and focus attention,I have hobbies outside of studies to keep me busy,MBA is depressing,MBA classes give me joy and hope,I eat healthy food in NITTE,My favorite foods at college are,I spoke on stage and it was empowering,Teachers empower me to do great things,My parents are more proud of my MBA than me.,I am proud to be learning MBA,"Before MBA, I studied",,
12,2014/10/25 9:23:47 AM GMT+5:30,2,"Five point someone
Magazines",2,5,5,"According to me, gender inequality should not be done",1,3,1,5,2,Chandamama,3,2,5,4,5,2,5,2,5,2,5,2,5,5,4,1,2,5,5,5,5,5,2,Girl,Good Job,1,1,5,3,3,1,2,4,3,sajini rao sr,1,,2,2,3,3,5,2,"Masala puri
noodles
",4,2,3,4,BCom,,
13,2014/10/25 9:39:28 AM GMT+5:30,2,,4,5,5,No its commen for everybody!!! East west does not come when it is about equality.,1,1,3,1,4,Tinkle,5,1,5,5,5,3,5,5,1,5,5,3,3,2,1,3,5,1,4,2,5,3,2,Boy,Start my business,2,1,1,2,2,2,5,3,2,,1,,3,5,5,1,4,1,NOTHING,5,5,3,5,BBM,,
14,2014/10/25 10:03:23 AM GMT+5:30,2,,4,3,4,"No, it is applicable for us also.",3,3,2,5,3,"Chandamama, tunturu, balamangala.",2,1,5,5,5,3,3,3,3,1,4,4,1,3,1,1,3,2,3,5,5,4,4,Boy,Good Job,3,,5,3,3,1,3,2,3,abhijithshettyjkshim.blogspot.in,1,,1,2,3,1,5,2,"rice sambar, samosa, kabab, biriyani.",2,3,2,5,BBM,,
15,2014/10/25 10:05:30 AM GMT+5:30,2,,4,2,1,,1,3,4,3,1,,3,1,5,5,4,4,3,4,3,3,4,3,2,5,1,4,3,2,3,5,4,2,3,Boy,Good Job,2,2,5,3,3,2,3,4,3,,2,,2,4,3,3,4,3,,5,4,4,5,BCom,,
16,2014/10/25 10:09:16 AM GMT+5:30,4,"Starts falling down,I have a dream, secret",4,3,4,,3,3,2,,3,"Tinkle, balamangala panchathantra, kajolo.,thumthuru.",3,3,3,3,4,4,4,4,3,4,4,4,4,4,3,3,4,2,4,4,4,3,4,Girl,Start my business,3,1,4,3,3,4,3,2,4,melitafalleiro.blogspot.com,2,,,3,4,1,5,3,Roti dal,5,5,5,5,BCom,,
17,2014/10/25 10:11:14 AM GMT+5:30,3,How to be a good student.,3,3,1,No. Both men and women should treated equality in the jus in rem.,,1,3,3,3,"Tinkle,amar chitra Katha.",2,1,3,3,5,4,4,4,3,5,4,4,4,3,1,1,3,3,3,5,3,5,3,Boy,Start my business,3,4,5,2,1,2,3,3,4,roopeshk,1,,2,4,3,4,4,5,Nothing.,3,4,5,4,BCom,,
18,2014/10/25 10:17:17 AM GMT+5:30,5,"Megha Varshini, Shanubogara magalu",1,5,5,"No, gender equality should be followed all over the world. Because it can help to a country to develop its human resource skill. All are treated equally.",1,1,4,5,5,"Amar Chitra katha, Chandamama",1,1,5,5,5,5,1,5,3,5,5,5,3,5,5,5,5,1,5,5,5,1,5,Girl,Good Job,5,2,5,5,3,3,5,1,5,divyanshetty.blogspot.com,2,,5,3,4,1,5,5,Chicken biriyani,5,5,4,5,BCom,,
19,2014/10/25 11:00:45 AM GMT+5:30,3,"a walk to remember,Bombay rains and Bombay girls,life without limits",1,3,1,No...it should be for all,1,1,3,1,3,"tinkle, calvin and hobbes",2,2,4,4,2,5,3,3,5,5,4,5,5,5,5,1,3,3,3,4,3,3,5,Girl,Good Job,3,1,5,3,3,3,2,3,2,,1,,1,3,4,3,3,1,I don't like anything here...,5,4,5,3,BBM,,
20,2014/10/25 11:09:23 AM GMT+5:30,4,professional by Subroto Bagchi,3,4,3,,2,3,1,1,4,Tinkle and Archies,2,2,5,5,5,4,3,3,4,3,4,4,2,3,4,3,4,2,4,5,3,3,4,Boy,Good Job,1,1,5,,3,2,4,4,1,,1,,1,3,4,2,4,2,,4,4,4,4,BCom,,
21,2014/10/25 11:10:05 AM GMT+5:30,2,"Wise & otherwise,2 states",2,2,2,,2,3,,4,5,Tinkle,2,1,4,4,4,2,1,4,2,4,4,3,1,1,3,3,2,2,5,5,4,4,5,Girl,Good Job,5,1,4,3,1,2,2,3,4,,2,,4,3,4,1,5,2,Chicken friedrice,5,5,3,5,BCom,,
22,2014/10/25 2:44:57 PM GMT+5:30,4,"Connect the dots by Rashmi Bansal
I Have a dream by Rashmi Bansal
The day when i stopped drinking milk by Sudha Murthy
",3,5,5,No I Strongly disagree,1,3,3,5,3,I red all these books when i was kid.,1,1,5,5,3,3,1,5,5,1,3,3,3,4,1,1,3,1,3,5,3,3,5,Boy,Good Job,3,5,5,3,3,3,5,3,1,,1,,5,1,5,1,5,3,Full meals,5,5,5,5,BCom,,
23,2014/10/25 4:01:54 PM GMT+5:30,3,"Complete history of the world,",4,4,3,,5,3,3,3,3,,3,3,5,4,5,3,4,3,5,4,3,3,3,3,2,3,4,2,3,5,3,5,3,Boy,Good Job,3,5,4,5,4,5,3,4,4,,2,,1,4,4,3,3,3,"Roti,chicken, egg fry",3,3,2,4,BCom,,
24,2014/10/25 4:29:01 PM GMT+5:30,3,,1,3,,,1,1,1,3,2,,2,3,3,3,2,2,3,3,3,1,4,3,3,1,1,3,4,1,4,5,3,3,3,Girl,Good Job,,5,5,4,1,4,4,2,1,,1,,1,1,2,2,4,3,Chicken,4,4,3,4,BBM,,
25,2014/10/25 6:01:08 PM GMT+5:30,4,"Books of mysteries and facts.
I hate novels.",3,4,4,No its for everyone.,4,3,3,1,4,Tinkle,2,3,3,3,4,4,4,2,4,2,4,4,4,5,4,2,2,4,4,5,4,2,4,Boy,Good Job,3,1,2,4,4,5,4,3,5,,1,,2,2,3,4,2,4,"Rice,chicken,fish,fruits",4,4,5,5,BCom,,
26,2014/10/25 7:17:45 PM GMT+5:30,4,THE GREATNESS GUIDE BY ROBIN SHARMA.,3,4,5,GENDER EQUALITY IS FOR EVERYBODY AND IT HAS TO BE FOLLOWED WORLDWIDE.,1,2,3,3,4,TINKLE,2,2,5,4,4,5,3,4,3,,4,2,4,4,2,3,3,2,4,5,5,3,2,Girl,Good Job,5,1,4,3,3,2,2,4,4,,3,,4,3,4,4,4,1,ROTI AND DAL,4,4,5,5,Engg,,
27,2014/10/25 7:59:04 PM GMT+5:30,4,"some of the kannada novels bheemakaya, matadana, jugari cross.",2,2,3,no,3,1,2,3,4,"tunturu, chandamama, tinkle, balamangala.",3,1,4,4,5,4,3,5,4,5,5,4,2,4,5,3,3,1,4,4,4,3,5,Boy,Start my business,3,4,5,5,5,5,5,1,1,,1,,3,4,5,1,5,4,"rice, curd, roti, dosa.",3,5,3,5,BBM,,
28,2014/10/25 8:14:59 PM GMT+5:30,2,,4,4,4,No,4,4,4,4,4,Chandamama,2,2,3,4,4,4,4,2,2,4,4,4,3,2,2,2,4,3,4,4,4,4,2,Boy,Good Job,2,4,3,4,4,2,4,3,3,,1,,2,2,2,2,4,2,,2,2,3,4,BCom,,
29,2014/10/25 9:53:33 PM GMT+5:30,2,,2,3,4,,2,3,2,2,2,,3,2,5,4,5,3,2,4,4,2,5,3,3,4,5,2,2,4,4,4,4,5,5,Boy,Good Job,3,3,5,3,,4,3,1,3,,1,,3,3,3,4,4,2,Rice,2,3,3,4,BBM,,
30,2014/10/25 10:19:12 PM GMT+5:30,1,,1,4,3,It is a myth ,1,1,3,5,4,,2,1,5,5,3,5,4,3,1,4,2,5,5,1,5,4,4,5,4,4,1,1,4,Boy,Good Job,1,1,3,4,3,3,1,3,1,,1,,1,3,4,2,3,2,Rice,5,3,5,5,BCom,,
31,2014/10/25 10:28:13 PM GMT+5:30,3,,3,1,5,,1,2,3,3,3,"archies, tinkle, chandamama",2,2,5,4,5,3,3,3,2,5,5,3,3,3,2,3,3,2,4,5,4,4,3,Girl,Pass MBA,4,1,5,4,3,2,2,2,4,,3,,3,2,2,2,4,2,"fried rice, biryani",5,4,5,5,BCom,,
32,2014/10/25 10:33:28 PM GMT+5:30,4,"Connect the dots , accidental prime minister , ofcource I love you",4,4,3,Totally diaagree on this statement.. ,1,2,3,4,4,Archie's ,3,2,4,4,2,5,4,3,3,3,2,4,4,3,4,4,4,3,3,5,4,4,2,Boy,Good Job,4,1,1,4,4,4,3,3,3,,3,,4,3,3,2,4,3,No gud food inside college,,4,3,4,BBM,,
33,2014/10/25 11:19:56 PM GMT+5:30,5,The Secret,3,2,5,No. Its for all the people. We Indians need to change. And be rational.,1,3,5,3,4,Tinkle,4,2,4,5,3,5,4,5,5,5,1,5,4,3,5,5,3,1,5,5,5,3,1,Boy,Start my business,5,1,5,5,3,5,4,2,3,,,,2,5,5,1,5,1,No good food available in nitte. Canteen people loot students.,5,5,3,5,BCom,,
34,2014/10/25 11:32:46 PM GMT+5:30,3,,3,4,2,Applicable to all,1,3,1,3,3,Tinkle,2,2,4,4,3,2,5,5,4,4,4,4,4,3,4,3,4,1,3,4,3,3,1,Girl,Good Job,1,1,4,4,4,3,3,3,1,,1,,3,3,3,3,4,3,,4,4,1,4,BBM,,
35,2014/10/26 12:19:46 AM GMT+5:30,4,,3,5,3,,3,3,2,3,2,,2,2,4,4,4,2,1,5,2,4,4,3,3,3,5,4,4,1,2,5,4,4,3,Boy,Good Job,4,,2,4,2,,4,4,2,,,,,3,,2,4,4,,5,5,4,5,BBM,,
36,2014/10/26 7:39:41 AM GMT+5:30,3,,3,4,5,,3,3,2,2,3,,2,1,3,4,3,3,4,3,4,4,5,4,4,4,2,4,3,2,4,5,3,5,4,Boy,Good Job,2,3,4,4,3,3,3,1,1,,1,,1,2,3,2,2,4,Veg meal.,3,4,3,5,BBM,,
37,2014/10/26 10:37:32 AM GMT+5:30,4,"ambani & sons,
beyond the last blue mountain,
dongri to dubai,
the da vinci code,
the mind of strategist",2,3,5,gender equality is for everyone. people should understand the relevance of equality so as to give equal rights to all.,1,4,2,2,1,,3,2,5,4,5,4,1,5,4,5,3,4,3,4,4,4,4,2,4,5,5,5,4,Boy,Good Job,4,1,1,5,2,5,2,4,2,,2,,2,1,4,2,4,1,"sev puri, pani puri, samosa chat, dosas",4,5,5,4,Engg,,
38,2014/10/26 10:54:55 AM GMT+5:30,4,,3,3,3,Gender equality is important.,1,3,4,4,3,,2,1,5,4,5,5,2,1,2,1,2,4,5,4,1,3,4,3,3,5,4,5,5,Girl,Good Job,1,2,4,4,3,5,4,2,4,,2,,2,3,4,2,4,3,maggi,2,4,2,5,BCom,,
39,2014/10/26 10:57:01 AM GMT+5:30,4,,3,4,2,,5,2,4,3,4,,2,4,4,4,4,3,5,5,3,3,5,3,3,3,1,3,3,1,3,5,3,4,4,Boy,Good Job,3,4,2,4,4,,2,4,4,ajayvinodp.wordpress.com,2,,3,2,3,3,3,3,,3,3,3,4,BSc,,
40,2014/10/26 11:12:40 AM GMT+5:30,4,"biography books of great people like-  i am malala, ",4,5,5,,3,3,3,3,1,,3,2,4,5,5,3,2,4,5,4,3,2,2,4,1,4,4,2,4,4,1,3,2,Boy,Good Job,3,3,4,3,2,2,3,4,3,,1,,4,4,3,1,5,3,"rice, chicken, egg, roti",5,4,3,5,BCom,,
41,2014/10/26 11:17:21 AM GMT+5:30,3,,2,3,3,,4,3,3,3,3,,3,2,4,3,4,2,4,4,3,3,4,3,4,2,3,2,3,2,3,4,3,3,3,Boy,Good Job,4,1,2,4,2,3,2,2,2,,2,,2,3,3,3,4,3,,3,3,3,3,BBM,,
42,2014/10/26 11:24:00 AM GMT+5:30,4,"Thoughts for life
Accounts
Swami Vivekananda's
General knowledge books
Etc
",1,3,5,Yes,4,3,5,3,5,,1,1,4,4,5,5,5,5,1,4,5,4,4,1,1,4,5,1,4,5,1,1,1,Boy,Good Job,4,4,4,5,3,4,5,4,4,,4,,4,4,4,1,5,1,,4,5,1,4,BBM,,
43,2014/10/26 11:45:03 AM GMT+5:30,4,Wings of Fire,2,5,5,,5,3,3,3,4,"Chandamama
Amar Chitra Katha",2,2,4,2,2,4,5,4,3,2,4,2,2,4,2,2,3,2,2,5,3,3,3,Boy,Good Job,3,5,5,2,3,5,1,3,2,,2,,2,2,4,4,3,4,Rice,3,3,4,4,BBM,,
44,2014/10/26 12:23:49 PM GMT+5:30,4,,2,5,5,,2,3,5,5,5,,3,1,5,5,5,5,3,5,3,5,5,5,3,5,5,5,4,2,5,5,3,3,5,Boy,Good Job,3,1,2,3,1,5,2,3,2,,2,,2,3,4,1,5,4,,5,5,2,4,BCom,,
45,2014/10/26 12:34:57 PM GMT+5:30,4,The Hobbit,4,4,5,,5,3,4,2,4,"Chandamama, Mad",3,3,2,2,2,4,5,4,3,2,5,3,3,4,2,,3,2,2,4,4,4,4,Boy,Start my business,2,5,5,4,3,5,2,4,4,,5,http://cdksfa.webs.com,2,2,4,3,3,4,"chicken, curd,rice",4,4,5,5,BBM,,
46,2014/10/26 1:25:39 PM GMT+5:30,3,,2,2,3,,4,2,2,3,2,,3,3,4,4,4,5,2,4,4,4,3,3,2,2,4,3,4,3,3,5,3,2,5,Girl,Good Job,5,1,4,4,5,1,1,5,1,,1,,2,1,2,2,3,2,,3,2,2,4,BCom,,
47,2014/10/26 3:33:30 PM GMT+5:30,5,,5,4,3,,1,3,1,4,4,Tinkle,3,2,5,5,5,3,3,4,3,5,4,5,2,3,1,3,4,1,5,5,5,5,5,Girl,Good Job,5,2,3,5,5,5,5,1,4,,4,,4,4,5,1,5,5,"   rice curd
",5,5,5,5,BBM,,
48,2014/10/26 5:55:20 PM GMT+5:30,4,,4,3,5,,1,2,3,5,4,"tinkle
chandamama",2,1,5,4,5,3,1,4,1,4,5,2,3,1,3,2,4,3,3,3,4,4,3,Girl,Good Job,4,1,5,4,3,1,5,4,4,,1,,5,2,3,1,5,3,"rice
curd
dal",4,3,3,5,BCom,,
49,2014/10/26 6:36:12 PM GMT+5:30,3,Secret,4,5,5,"In rural areas women still struggle to open up ,speak, Parents also treat male child as their asset which is not good",1,3,5,3,4,Chandamama tinkle thunturu,4,1,4,5,5,4,1,5,3,5,5,4,1,4,5,1,5,1,4,5,5,4,5,Girl,Good Job,3,1,5,4,1,4,4,3,4,vathsalyaalva@blogspot.com,,,4,3,4,1,5,3,"Roti, paneer masala, chicken",5,5,5,4,BCom,,
50,2014/10/26 7:40:17 PM GMT+5:30,3,,4,2,5,,4,3,1,4,5,,1,1,4,5,5,4,3,4,3,5,5,3,1,4,3,2,5,1,4,4,4,4,4,Girl,Good Job,5,5,5,4,5,5,3,5,4,vjshetty14.blogspot.in,3,,4,3,4,1,3,3,chicken,3,4,3,5,Engg,,
51,2014/10/26 7:42:11 PM GMT+5:30,3,,3,2,3,,1,3,4,2,3,"Chandamama,Tinkle",2,1,5,4,5,3,3,4,5,3,4,3,3,3,2,3,3,2,4,5,5,5,3,Girl,Good Job,4,1,2,3,1,3,3,2,4,abhiksharai 93@blogspot,3,,3,3,3,3,3,3,"Chicken.,chats,poori",1,1,5,4,BCom,,
52,2014/10/26 7:53:05 PM GMT+5:30,3,,3,4,1,,2,3,1,1,5,,4,1,5,5,3,4,5,5,3,5,4,4,3,5,5,3,4,1,3,4,3,2,1,Boy,Start my business,3,5,5,3,2,4,5,1,1,,1,,4,2,5,1,5,1,,4,5,5,5,BBM,,
53,2014/10/26 8:06:21 PM GMT+5:30,4,,2,4,3,,4,3,2,4,4,,4,3,4,5,4,5,2,4,1,4,5,4,4,5,1,3,5,4,4,5,2,3,1,Boy,Start my business,3,1,4,1,3,2,4,5,4,,1,,1,3,5,1,5,3,,4,4,1,1,BSc,,
54,2014/10/26 8:13:36 PM GMT+5:30,3,,4,1,3,,1,3,1,3,3,,3,2,4,5,3,5,3,4,4,2,5,1,4,3,3,4,4,2,5,5,4,3,3,Boy,Good Job,2,1,1,3,3,4,2,3,2,,1,,3,2,3,3,4,3,,4,3,3,4,BBM,,
55,2014/10/26 8:22:07 PM GMT+5:30,5,,5,5,3,,1,1,5,1,5,,3,1,5,5,3,5,5,3,4,1,3,3,5,5,5,5,5,4,4,4,3,3,4,Boy,Start my business,5,5,5,5,4,4,5,4,3,,5,,2,5,5,1,5,3,,5,5,5,5,Engg,,
56,2014/10/26 8:30:55 PM GMT+5:30,4,,2,3,2,,4,2,1,3,3,,3,3,4,4,4,2,3,3,3,4,3,4,4,2,3,2,4,3,3,4,4,4,3,Boy,Good Job,3,3,2,4,3,4,3,2,3,,2,,3,3,3,3,4,1,,3,3,3,4,BCom,,
57,2014/10/26 8:45:01 PM GMT+5:30,5,"Novel books,story books,interesting books,sports books,etc",4,5,3,,5,4,4,3,4,,1,1,5,4,3,4,3,4,5,3,5,4,1,5,1,3,4,1,5,5,5,1,4,Boy,Good Job,4,4,1,5,3,3,1,4,4,,1,,1,4,4,5,5,5,"Noodles,rice and roti,lander masala,etc",4,4,4,5,BBM,,
58,2014/10/26 8:52:11 PM GMT+5:30,3,"Invisible man 
sons and Lovers
An American Tragedy
",4,3,3,,2,3,2,3,4,"Asterix,European comic",2,3,4,3,3,2,3,3,3,3,5,2,3,3,2,3,4,1,4,5,3,3,2,Boy,Good Job,3,1,5,2,3,4,3,2,2,,1,,1,2,3,2,5,5,"Fried rice
chicken
dosa",4,4,3,5,BCom,,
59,2014/10/26 9:08:36 PM GMT+5:30,4,"2states,one night in cal center",5,5,1,,1,1,1,5,1,,1,1,5,5,5,5,5,5,1,5,5,1,1,5,1,1,5,1,5,5,1,1,1,Girl,Good Job,,1,1,3,5,5,5,5,4,kavyamshetty.blogspot.in,,,5,5,1,1,5,1,Dosa,5,5,1,4,BCom,,
60,2014/10/26 9:14:09 PM GMT+5:30,5,"Two states
One night @ the call center
Revolution 2020
I too had a love story",5,5,3,,4,3,1,5,3,Chandamama,4,1,5,5,5,5,3,5,3,5,5,5,3,5,5,1,5,1,5,5,5,5,5,Girl,Good Job,5,1,5,5,5,5,5,3,5,preethisholla.WordPress.com,1,no,3,5,5,1,5,3,"Rice,curd,roti",3,5,1,5,BCom,,
61,2014/10/26 9:17:12 PM GMT+5:30,2,,3,3,4,"Gender Equality is for whole world and not to one particular part of the world. The mindset of the people must change that even women has  the same ability as men when take some of the examples like Indira Gandhi, Kiran Bedi they are the role models so i don't think that there should be gender inequality in India.",2,3,2,1,4,,3,3,4,2,4,4,2,3,3,2,4,2,3,4,5,4,2,3,4,5,4,3,5,Boy,Start my business,4,1,3,3,3,1,4,2,5,http://shetnaveen007.blogspot.in,1,,2,1,3,2,5,4,"Actually there is no good hotels in Nitte and we are not getting healthy food as i get in my home town. 
My favorite food is chicken Biryani, dosa, samosa.........  ",5,4,3,5,BBM,,
62,2014/10/26 9:42:44 PM GMT+5:30,3,,5,3,5,,3,3,1,1,5,,5,1,3,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,Boy,Good Job,5,5,5,5,5,5,5,5,5,,,,,,5,5,5,5,,5,5,1,5,BBM,,
63,2014/10/26 10:48:26 PM GMT+5:30,1,,3,1,4,,1,3,2,3,2,,2,2,4,4,3,3,5,3,4,3,3,3,3,3,3,2,3,2,4,5,2,3,1,Girl,Good Job,2,1,5,4,3,3,3,3,1,,1,,1,3,4,1,4,1,,3,4,1,1,BBM,,
